Ticker,Price,P/E Ratio,P/S Ratio,P/B Ratio,ROE,EV/EBITDA,1M Return,3M Return,6M Return,12M Return
KMX,64.4600,20.1200,0.3700,1.5800,0.0813,,-0.0032,-0.2231,-0.2430,-0.0826
CCL,23.2200,15.4600,1.1800,3.3200,0.2587,,0.2661,-0.0297,-0.0782,0.5398
CARR,71.2000,16.3400,2.6500,4.4200,0.2569,,0.1422,0.1023,-0.0913,0.1406
CAT,348.0300,16.9600,2.5900,9.0700,0.5567,,0.1253,0.0167,-0.1348,0.0448
CBOE,229.1200,30.0400,5.5400,5.3900,0.1893,,0.0330,0.0869,0.0700,0.3245
CBRE,125.0200,38.1800,1.0100,4.5200,0.1215,,0.0232,-0.1192,-0.0986,0.4196
CDW,180.3600,22.3500,1.1100,10.2200,0.4871,,0.1272,0.0156,0.0013,-0.1829
COR,291.2400,33.8000,0.1800,55.7200,1.6158,,-0.0030,0.1509,0.1975,0.2965
CNC,56.4400,8.4000,0.1700,1.0100,0.1259,,-0.0570,-0.0296,-0.0812,-0.2116
CNP,37.2400,25.0400,2.7200,2.2200,0.0922,,-0.0339,0.0897,0.1610,0.2540
CF,90.7100,11.9600,2.4000,3.1200,0.2614,,0.1642,0.1261,0.0505,0.1654
CRL,135.6300,,1.6600,2.0900,-0.0092,,0.1434,-0.1795,-0.3262,-0.3493
SCHW,88.3400,26.8600,6.1300,3.9800,0.1412,,0.0887,0.1143,0.0874,0.2224
CHTR,396.2700,10.9900,1.9900,3.4200,0.3694,,0.0113,0.0899,0.0307,0.3802
CVX,136.7000,15.6700,1.2400,1.6000,0.1011,,0.0169,-0.1277,-0.1276,-0.1195
CMG,50.0800,44.0000,5.8700,19.3600,0.4557,,-0.0087,-0.0721,-0.1923,-0.1999
CB,297.2000,14.3100,2.1100,1.8100,0.1340,,0.0389,0.0443,0.0444,0.1119
CHD,98.3100,42.1800,3.9900,5.3200,0.1335,,-0.0072,-0.1131,-0.1043,-0.0708
CI,316.6400,17.5400,0.3300,2.1200,0.1237,,-0.0688,0.0303,-0.0405,-0.0654
CINF,150.8200,16.4500,2.1500,1.7200,0.1097,,0.0834,0.0265,-0.0428,0.3148
CTAS,226.5000,52.5500,9.0200,19.9100,0.4015,,0.0720,0.0936,0.0154,0.3465
CSCO,63.0400,25.8400,4.4900,5.4300,0.2136,,0.0920,-0.0101,0.0877,0.3964
C,75.3200,11.9000,0.8300,0.7200,0.0630,,0.1103,-0.0504,0.0805,0.2497
CFG,40.3500,12.8500,1.4300,0.7800,0.0637,,0.0938,-0.1084,-0.1506,0.1897
CLX,131.8800,23.6800,2.3200,602.0300,11.7627,,-0.0732,-0.1494,-0.1940,0.0356
CME,289.0000,29.0500,16.5700,3.8500,0.1340,,0.0430,0.1445,0.3039,0.4897
CMS,70.2300,20.7800,2.7000,2.5900,0.1253,,-0.0393,-0.0314,0.0236,0.1508
KO,72.1000,28.8700,6.6500,11.8400,0.4098,,-0.0062,0.0200,0.1367,0.1800
CTSH,80.9900,17.0500,1.9900,2.6800,0.1661,,0.1051,-0.0244,0.0118,0.2430
COIN,246.6200,46.2200,9.0800,6.0000,0.1583,,0.2155,0.1438,-0.2101,0.0916
CL,92.9400,26.3200,3.7800,207.4900,9.7707,,0.0081,0.0251,-0.0142,0.0213
CMCSA,34.5700,8.4900,1.0400,1.4900,0.1857,,0.0108,-0.0278,-0.1857,-0.1074
CAG,22.8900,33.4900,0.9300,1.2400,0.0367,,-0.0737,-0.0907,-0.1424,-0.1933
COP,85.3500,10.8300,1.8800,1.6500,0.1661,,-0.0342,-0.1319,-0.1821,-0.2444
ED,104.4900,19.2900,2.3900,1.5800,0.0833,,-0.0654,0.0380,0.0689,0.1436
STZ,178.2900,,3.1100,4.6200,-0.0098,,-0.0493,0.0215,-0.2538,-0.2732
CEG,306.1500,32.2700,3.9100,7.4100,0.2471,,0.3720,0.2259,0.2338,0.4186
COO,68.2800,33.1200,3.4200,1.6400,0.0515,,-0.1640,-0.2445,-0.3332,-0.2760
CPRT,51.4800,33.9300,10.8300,5.9900,0.1854,,-0.1565,-0.0606,-0.1925,-0.0298
GLW,49.5900,94.8900,3.1200,3.7500,0.0414,,0.1237,-0.0056,0.0393,0.3633
CPAY,325.1100,22.8000,5.6700,6.6300,0.3033,,-0.0008,-0.1143,-0.1479,0.2146
CTVA,70.8000,43.1700,2.8700,1.9900,0.0466,,0.1421,0.1272,0.1100,0.2800
CSGP,73.5600,255.9500,11.0400,3.6400,0.0147,,-0.0082,-0.0353,-0.0837,-0.0590
COST,1040.1800,59.0000,1.7200,17.0100,0.3208,,0.0473,-0.0067,0.0851,0.2910
CTRA,24.3100,14.1900,3.0700,1.3100,0.0940,,-0.0014,-0.0839,-0.0839,-0.1181
CRWD,471.3700,,29.7000,35.6300,-0.0069,,0.0991,0.2097,0.2961,0.5028
CCI,100.3500,,7.3000,,-1.9854,,-0.0512,0.0843,-0.0227,0.0412
CSX,31.5900,18.8200,4.1600,4.8800,0.2613,,0.1301,-0.0090,-0.1274,-0.0498
CMI,321.4800,15.9900,1.3100,4.0500,0.2778,,0.1003,-0.1219,-0.1344,0.1657
CVS,64.0400,15.3000,0.2100,1.0500,0.0700,,-0.0400,-0.0155,0.0906,0.1242
DHR,189.9000,36.8200,5.7100,2.6700,0.0722,,-0.0473,-0.0846,-0.1989,-0.2570
DRI,214.2100,24.1700,2.1300,11.3900,0.4822,,0.0676,0.0763,0.2408,0.4732
DVA,136.2600,13.4900,0.7900,,2.6092,,-0.0374,-0.0786,-0.1840,-0.0738
DAY,59.0800,369.4800,5.2200,3.6500,0.0103,,0.0209,-0.0469,-0.2778,0.1945
DECK,105.5200,16.6600,3.1600,6.3100,0.4182,,-0.0479,-0.2428,-0.4630,-0.4212
DE,506.2600,24.4900,3.0100,5.6500,0.2407,,0.0921,0.0567,0.1022,0.3710
DELL,111.2700,17.7500,0.7900,,,,0.2126,0.0898,-0.2201,-0.1887
DAL,48.3900,8.5800,0.5100,2.0500,0.2752,,0.1658,-0.1927,-0.2456,-0.0403
DVN,30.2600,6.8900,1.1700,1.3400,0.2088,,-0.0049,-0.1586,-0.1985,-0.3632
DXCM,85.8000,64.4100,8.1100,14.8400,0.2372,,0.2020,-0.0291,0.1024,-0.2776
FANG,134.5500,8.2300,3.0500,1.0000,0.1426,,0.0263,-0.1417,-0.2401,-0.3036
DLR,171.5200,159.4500,10.2600,2.8100,0.0214,,0.0684,0.1065,-0.0971,0.2170
DG,97.2500,19.0200,0.5300,2.8900,0.1589,,0.0380,0.3195,0.2880,-0.2711
DLTR,90.2600,,0.6900,4.8800,0.1888,,0.1038,0.2388,0.2935,-0.2348
D,56.6700,21.2600,3.2400,1.8300,0.0822,,0.0547,0.0130,0.0029,0.1017
DPZ,473.8200,27.1600,3.4300,,,,-0.0338,-0.0285,0.0173,-0.0553
DASH,208.6500,272.8200,7.8700,10.5400,0.0441,,0.0817,0.0515,0.1650,0.8949
DOV,177.7500,10.7100,3.0600,3.4100,0.1745,,0.0446,-0.1032,-0.1284,-0.0225
DOW,27.7400,69.3300,0.4600,1.1700,0.0160,,-0.0706,-0.2540,-0.3586,-0.4828
DHI,118.0600,8.9300,1.0300,1.5000,0.1783,,-0.0626,-0.0660,-0.3131,-0.1930
DTE,136.6500,18.4500,2.1300,2.3800,0.1328,,-0.0026,0.0304,0.1105,0.2137
DUK,117.7200,19.6400,2.9600,1.8400,0.0948,,-0.0265,0.0111,0.0425,0.1795
DD,66.8000,,2.2300,1.2200,0.0006,,0.0183,-0.1740,-0.1964,-0.1705
EMN,78.3700,9.9800,0.9700,1.5400,0.1616,,0.0178,-0.1917,-0.2463,-0.2001
ETN,320.2000,32.3200,4.9500,6.7700,0.2084,,0.0915,0.0995,-0.1439,-0.0251
EBAY,73.1700,17.4900,3.2600,6.8400,0.3648,,0.0778,0.1399,0.1403,0.3731
ECL,265.6200,36.1300,4.8000,8.4800,0.2462,,0.0564,-0.0100,0.0813,0.1552
EIX,55.6500,7.9000,1.2400,1.4300,0.1793,,0.0400,0.0379,-0.3482,-0.2419
EW,78.2200,52.2600,8.2800,4.5300,0.1673,,0.0362,0.0922,0.0975,-0.0998
EA,143.7800,33.9400,4.8400,5.6800,0.1613,,-0.0077,0.1150,-0.1206,0.0876
ELV,383.8400,14.9800,0.4700,2.0400,0.1424,,-0.0874,-0.0288,-0.0505,-0.2769
EMR,119.3800,28.4900,3.8100,3.4900,0.0982,,0.1408,-0.0140,-0.0929,0.0835
ENPH,41.3900,38.5100,3.8200,6.7000,0.1713,,-0.0718,-0.2780,-0.4244,-0.6764
ETR,83.2800,27.0200,3.0200,2.3600,0.0896,,0.0086,-0.0392,0.1082,0.5145
EOG,108.5700,10.0800,2.5200,2.0300,0.2090,,-0.0160,-0.1369,-0.1639,-0.1015
EPAM,174.4900,24.4000,2.0300,2.7100,0.1157,,0.1120,-0.1535,-0.2997,-0.0193
EQT,55.1300,95.0700,5.2100,1.5900,0.0206,,0.1184,0.1479,0.2059,0.3623
EFX,264.1900,53.9500,5.7200,6.5900,0.1283,,0.0175,0.0795,0.0047,0.1490
EQIX,888.8200,92.3500,9.8300,6.2600,0.0708,,0.0382,-0.0122,-0.0781,0.1890
EQR,70.1400,27.3700,9.1800,2.4200,0.0901,,-0.0017,-0.0451,-0.0643,0.1201
ERIE,358.5100,30.7600,4.2800,8.0800,0.3238,,-0.0003,-0.1596,-0.1631,0.0018
ESS,283.9000,27.1700,10.4400,3.2800,0.1209,,0.0170,-0.0811,-0.0672,0.1311
EL,66.9400,,1.6300,5.5400,-0.1727,,0.1221,-0.0643,-0.0691,-0.4453
EG,347.1900,17.5100,0.8500,1.0400,0.0612,,-0.0324,-0.0116,-0.1004,-0.0976
EVRG,66.4100,17.5000,2.6100,1.5400,0.0895,,-0.0291,-0.0164,0.0510,0.2668
ES,64.8100,27.9800,1.8800,1.5500,0.0563,,0.1031,0.0539,0.0508,0.1473
EXC,43.8200,16.2600,1.8700,1.6000,0.1010,,-0.0573,0.0003,0.1404,0.2126
EXE,116.1300,,4.2200,1.6000,-0.0710,,0.1234,0.1873,0.1875,0.3093
EXPE,166.7500,19.6500,1.5400,19.7700,1.1916,,0.0651,-0.1539,-0.0901,0.4841
EXPD,112.7300,18.7200,1.4000,6.7400,0.3770,,0.0257,-0.0395,-0.0734,-0.0562
